Name,EX,EW,Subtotal-(EX+EW),CR(PE),CR(PEW),Subtotal-(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
French Southern Territories,0,0,0,0,0,0,0,2,0,2,0,0,8,0,10
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Anguilla,0,0,0,0,0,0,1,1,1,3,0,0,98,0,101
Antigua and Barbuda,0,0,0,0,0,0,0,1,1,2,0,2,187,1,192
Aruba,0,0,0,0,0,0,0,2,3,5,0,2,70,0,77
Bahamas,0,0,0,0,0,0,3,14,9,26,0,14,251,1,292
Barbados,0,0,0,0,0,0,0,1,3,4,0,0,142,2,148
Bermuda,0,1,1,0,0,1,2,5,1,8,0,1,46,1,57
Bonaire, Sint Eustatius and Saba,0,0,0,0,0,0,0,1,4,5,0,3,159,0,167
Cayman Islands,0,0,0,0,0,0,11,7,5,23,0,4,168,4,199
Cuba,8,1,9,0,0,9,31,69,91,191,0,14,570,11,795
Curaçao,0,0,0,0,0,0,0,1,3,4,0,2,93,0,99
Dominica,0,0,0,0,0,0,1,3,11,15,0,5,244,2,266
Dominican Republic,0,0,0,1,0,1,12,20,48,80,0,10,470,12,572
Grenada,0,0,0,0,0,0,0,2,4,6,0,4,181,1,192
Guadeloupe,0,0,0,0,0,0,0,3,9,12,0,4,259,2,277
Haiti,1,0,1,30,0,31,88,63,58,209,0,9,446,30,695
Jamaica,2,0,2,0,0,2,42,55,117,214,0,76,437,7,736
Martinique,0,0,0,0,0,0,0,3,9,12,0,3,252,4,271
Montserrat,0,0,0,1,0,1,3,1,3,7,0,1,164,1,173
Puerto Rico,0,0,0,0,0,0,23,23,24,70,0,18,419,5,512
Saint Barthélemy,0,0,0,0,0,0,0,1,1,2,0,1,91,0,94
Saint Kitts and Nevis,0,0,0,0,0,0,0,1,3,4,0,1,133,2,140
Saint Lucia,0,0,0,0,0,0,0,3,8,11,0,3,217,0,231
Saint Martin (French part),0,0,0,0,0,0,0,1,1,2,0,1,122,1,126
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,2,5,7,0,3,230,2,242
Sint Maarten (Dutch part),0,0,0,0,0,0,0,1,0,1,0,1,70,0,72
Trinidad and Tobago,0,0,0,6,0,6,15,20,15,50,0,9,519,9,587
Turks and Caicos Islands,0,0,0,0,0,0,1,7,2,10,0,5,114,0,129
Virgin Islands, British,0,0,0,0,0,0,2,15,7,24,0,12,187,1,224
Virgin Islands, U.S.,0,0,0,0,0,0,2,11,8,21,0,12,210,1,244
China,3,0,3,7,4,14,114,296,264,674,4,99,2,439,222,3,441
Hong Kong,0,0,0,0,0,0,3,6,5,14,0,5,302,2,323
Japan,0,0,0,0,0,0,14,22,21,57,0,18,743,30,848
Korea, Democratic People's Republic of,0,0,0,0,0,0,1,11,7,19,0,3,277,14,313
Korea, Republic of,0,0,0,0,0,0,6,20,11,37,0,7,350,9,403
Macao,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,222,10,233
Taiwan, Province of China,0,1,1,2,1,4,16,41,31,88,1,14,610,16,730
Åland Islands,0,0,0,0,0,0,0,0,1,1,0,0,12,0,13
Albania,0,0,0,0,0,0,1,0,4,5,0,6,488,32,531
Andorra,0,0,0,0,0,0,0,0,1,1,0,1,124,7,133
Austria,0,0,0,0,0,0,6,17,15,38,0,10,479,30,557
Belgium,0,1,1,0,0,1,0,1,2,3,0,5,368,13,390
Bosnia and Herzegovina,0,0,0,0,0,0,1,2,2,5,0,7,369,22,403
Bulgaria,0,0,0,0,0,0,1,4,8,13,0,10,510,48,581
Croatia,1,0,1,0,0,1,1,6,4,11,0,11,512,36,571
Czechia,0,0,0,0,0,0,10,14,7,31,0,5,408,25,469
Denmark,0,0,0,0,0,0,0,0,2,2,0,4,321,9,336
Estonia,0,0,0,0,0,0,1,0,1,2,0,1,256,4,263
Faroe Islands,0,0,0,0,0,0,0,0,1,1,0,0,89,0,90
Finland,0,0,0,0,0,0,0,1,3,4,0,2,330,10,346
France,1,1,2,0,0,2,8,24,33,65,0,42,798,40,947
Germany,0,0,0,0,0,0,17,18,16,51,0,14,485,25,575
Gibraltar,0,0,0,0,0,0,0,0,1,1,0,0,37,1,39
Greece,0,0,0,1,0,1,17,28,32,77,0,31,607,76,791
Greenland,0,0,0,0,0,0,0,0,1,1,0,0,124,0,125
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
Hungary,0,0,0,0,0,0,13,14,18,45,0,5,396,30,476
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,145,2,147
Ireland,0,0,0,0,0,0,2,2,4,8,0,10,311,3,332
Isle of Man,0,0,0,0,0,0,0,1,0,1,0,0,71,0,72
Italy,0,0,0,1,0,1,41,42,38,121,0,55,810,68,1,054
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
Latvia,0,0,0,0,0,0,1,0,0,1,0,2,237,6,246
Liechtenstein,0,0,0,0,0,0,0,1,0,1,0,1,205,10,217
Lithuania,0,0,0,0,0,0,0,1,1,2,0,2,239,8,251
Luxembourg,0,1,1,0,0,1,0,1,2,3,0,2,229,9,244
Malta,0,0,0,0,0,0,2,1,1,4,0,3,168,8,183
Monaco,0,0,0,0,0,0,0,1,1,2,0,0,39,1,42
Montenegro,0,0,0,0,0,0,1,2,3,6,0,10,370,17,403
Netherlands,0,0,0,0,0,0,0,1,2,3,0,2,342,10,357
North Macedonia,0,0,0,0,0,0,0,2,4,6,0,6,375,31,418
Norway,0,0,0,0,0,0,1,8,11,20,0,6,371,10,407
Poland,0,0,0,0,0,0,1,4,11,16,0,10,418,16,460
Portugal,3,0,3,0,0,3,33,55,56,144,0,60,575,44,826
Romania,0,0,0,0,0,0,1,8,5,14,0,10,453,47,524
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Serbia,0,0,0,0,0,0,0,6,3,9,0,10,415,37,471
Slovakia,0,0,0,0,0,0,9,13,10,32,0,7,330,32,401
Slovenia,0,0,0,0,0,0,1,5,7,13,0,10,448,25,496
Spain,1,1,2,1,0,3,83,112,89,284,1,86,853,47,1,273
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,0,1,0,0,42,0,43
Sweden,0,0,0,0,0,0,1,4,7,12,0,9,404,14,439
Switzerland,0,0,0,0,0,0,3,7,10,20,0,10,460,21,511
United Kingdom,0,1,1,0,0,1,21,16,16,53,0,13,420,17,504
Belize,0,0,0,0,0,0,4,37,32,73,0,14,922,6,1,015
Costa Rica,0,0,0,0,0,0,17,114,124,255,2,102,1,966,22,2,347
El Salvador,0,0,0,0,0,0,4,22,34,60,0,10,763,11,844
Guatemala,0,0,0,0,0,0,60,145,99,304,1,35,1,375,22,1,737
Honduras,0,0,0,1,0,1,49,75,48,172,1,32,1,315,11,1,531
Mexico,3,3,6,10,3,19,200,627,444,1,271,2,137,2,718,183,4,317
Nicaragua,0,0,0,0,0,0,5,27,38,70,1,40,1,424,9,1,544
Panama,0,0,0,1,1,2,22,99,110,231,2,86,2,009,68,2,396
Algeria,0,0,0,0,0,0,6,9,16,31,0,33,442,15,521
Egypt,0,0,0,0,0,0,5,7,1,13,0,2,325,5,345
Libya,0,0,0,0,0,0,1,2,6,9,0,7,221,3,240
Morocco,0,0,0,0,0,0,4,27,26,57,0,44,476,20,597
Tunisia,0,0,0,0,0,0,3,3,6,12,0,24,306,9,351
Western Sahara,0,0,0,0,0,0,0,0,1,1,0,0,32,0,33
Canada,1,0,1,0,0,1,6,6,9,21,0,17,993,13,1,045
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
United States,34,5,39,14,12,65,324,215,126,665,0,74,1,966,36,2,780
Belarus,0,0,0,0,0,0,1,1,0,2,0,2,243,13,260
Moldova,0,0,0,0,0,0,0,0,2,2,0,4,208,13,227
Russian Federation,0,0,0,0,0,0,8,30,28,66,0,22,687,58,833
Ukraine,1,0,1,0,0,1,3,14,12,29,0,8,433,51,522
American Samoa,0,0,0,0,0,0,0,1,1,2,0,4,85,0,91
Australia,3,0,3,2,0,5,94,270,385,749,3,250,2,822,103,3,930
Christmas Island,0,0,0,0,0,0,0,0,2,2,0,0,52,0,54
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
Cook Islands,1,0,1,0,0,1,9,2,2,13,0,0,55,3,72
Fiji,1,0,1,0,1,2,30,24,38,92,0,17,254,30,394
French Polynesia,2,1,3,0,0,3,33,5,18,56,0,16,127,34,236
Guam,0,0,0,0,0,0,1,2,2,5,0,1,49,1,56
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,36,1,37
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,1,37,0,38
Micronesia, Federated States of,0,0,0,0,0,0,1,4,3,8,0,4,124,3,139
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
New Caledonia,4,0,4,9,0,13,144,267,238,649,4,175,587,45,1,464
New Zealand,6,0,6,0,0,6,4,5,12,21,2,19,125,2,175
Niue,0,0,0,0,0,0,0,1,0,1,0,0,50,0,51
Norfolk Island,1,0,1,0,0,1,1,0,1,2,0,0,17,0,20
Northern Mariana Islands,0,0,0,0,0,0,2,2,2,6,0,1,64,0,71
Palau,0,0,0,0,0,0,0,2,3,5,0,3,106,4,118
Papua New Guinea,0,0,0,35,1,36,137,264,183,584,0,112,1,619,420,2,735
Pitcairn,0,1,1,0,0,1,2,2,6,10,0,0,25,0,36
Samoa,0,0,0,1,0,1,4,3,2,9,0,4,120,0,133
Solomon Islands,0,0,0,3,0,3,5,12,23,40,0,20,377,39,476
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
Tonga,0,0,0,0,0,0,1,2,4,7,0,1,117,1,126
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
Vanuatu,0,0,0,0,0,0,1,4,5,10,1,9,183,3,206
Wallis and Futuna,0,0,0,0,0,0,0,0,1,1,0,1,69,0,71
Argentina,0,1,1,0,0,1,7,21,44,72,0,24,822,23,942
Bolivia, Plurinational States of,1,4,5,1,1,7,24,107,162,293,0,56,2,309,92,2,755
Brazil,5,3,8,7,2,17,234,602,461,1,297,22,216,4,546,421,6,510
Chile,1,3,4,0,0,4,24,30,34,88,1,19,244,8,364
Colombia,2,4,6,3,1,10,172,314,265,751,3,145,3,808,114,4,827
Ecuador,3,6,9,48,0,57,270,759,982,2,011,1,285,2,517,352,5,175
Falkland Islands (Malvinas),0,0,0,0,0,0,0,5,0,5,0,1,20,1,27
French Guiana,0,0,0,0,0,0,4,5,19,28,1,5,1,342,22,1,398
Guyana,0,0,0,0,0,0,3,13,29,45,1,14,1,591,25,1,676
Paraguay,0,0,0,0,0,0,3,6,12,21,0,10,625,12,668
Peru,0,3,3,3,0,6,50,156,318,524,3,75,2,899,155,3,659
Suriname,0,0,0,0,0,0,1,7,26,34,0,5,1,273,15,1,327
Uruguay,0,0,0,0,0,0,4,5,13,22,0,2,263,6,293
Venezuela, Bolivarian Republic of,0,0,0,3,0,3,74,139,198,411,1,79,2,846,243,3,580
Bangladesh,0,0,0,0,0,0,5,9,17,31,0,12,614,20,677
Bhutan,1,0,1,1,0,2,13,20,19,52,0,16,593,33,695
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,1,20,0,21
Brunei Darussalam,0,0,0,0,0,0,9,47,115,171,3,91,482,16,763
Cambodia,0,0,0,0,0,0,5,20,22,47,0,19,626,22,714
Disputed Territory,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
India,2,2,4,1,0,5,96,207,172,475,1,70,1,699,134,2,383
Indonesia,1,2,3,33,0,36,167,271,401,839,4,226,2,328,334,3,734
Lao People's Democratic Republic,0,0,0,0,0,0,5,33,34,72,0,19,757,43,891
Malaysia,1,1,2,23,2,27,203,325,719,1,247,95,238,1,822,164,3,568
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54
Myanmar,0,0,0,5,0,5,18,47,36,101,0,41,1,206,115,1,463
Nepal,0,0,0,0,0,0,2,9,13,24,0,6,719,17,766
Philippines,0,0,0,6,0,6,241,329,216,786,3,116,1,043,52,2,000
Singapore,0,0,0,0,0,0,11,16,40,67,8,38,482,20,615
Sri Lanka,0,1,1,1,0,2,81,80,138,299,3,11,653,7,974
Thailand,0,0,0,1,0,1,20,94,110,224,2,71,1,471,106,1,874
Timor-Leste,0,0,0,0,0,0,1,3,1,5,0,2,215,3,225
Viet Nam,0,1,1,2,1,4,68,106,120,294,1,55,1,385,113,1,849
Angola,0,0,0,1,0,1,2,11,35,48,0,27,1,309,70,1,454
Benin,0,0,0,0,0,0,0,4,12,16,0,11,849,1,877
Botswana,0,0,0,0,0,0,0,1,2,3,0,2,621,9,635
Burkina Faso,0,0,0,0,0,0,0,2,3,5,0,4,610,3,622
Burundi,0,0,0,16,1,17,22,66,49,137,1,18,688,9,853
Cabo Verde,2,0,2,0,0,2,17,28,6,51,0,7,81,9,150
Cameroon,1,0,1,15,1,17,148,248,333,729,2,82,1,499,47,2,360
Central African Republic,0,0,0,0,0,0,2,15,19,36,1,15,987,10,1,049
Chad,0,0,0,0,0,0,1,2,4,7,0,3,572,6,588
Comoros,0,0,0,0,0,0,2,6,5,13,0,0,176,0,189
Congo,0,0,0,0,0,0,1,23,50,74,1,21,1,004,7,1,107
Congo, The Democratic Republic of the,2,0,2,13,0,15,26,117,154,297,3,59,1,695,44,2,100
Côte d'Ivoire,2,0,2,1,0,3,7,31,103,141,1,41,1,107,12,1,304
Djibouti,0,0,0,0,0,0,0,2,1,3,0,0,124,0,127
Equatorial Guinea,0,0,0,0,0,0,2,41,80,123,0,36,642,9,810
Eritrea,0,0,0,0,0,0,0,2,4,6,0,6,276,2,290
Eswatini,0,1,1,0,0,1,2,4,9,15,0,5,534,4,559
Ethiopia,0,0,0,3,0,3,10,27,29,66,1,29,924,20,1,040
Gabon,0,0,0,6,0,6,52,118,172,342,1,52,1,052,16,1,463
Gambia,0,0,0,0,0,0,0,1,5,6,0,4,371,1,382
Ghana,0,0,0,0,0,0,4,32,90,126,1,28,1,080,8,1,243
Guinea,0,0,0,14,0,14,32,89,74,195,1,38,927,13,1,174
Guinea-Bissau,0,0,0,0,0,0,1,1,9,11,0,11,531,2,555
Kenya,0,0,0,1,0,1,28,129,171,328,1,73,1,357,22,1,781
Lesotho,0,0,0,0,0,0,0,2,3,5,0,1,188,1,195
Liberia,0,0,0,1,0,1,5,31,68,104,0,27,747,4,882
Madagascar,0,1,1,110,7,118,523,1,417,897,2,837,0,219,1,545,91,4,693
Malawi,0,0,0,0,0,0,1,23,26,50,1,11,1,048,24,1,134
Mali,0,0,0,0,0,0,3,14,11,28,0,9,650,12,699
Mauritania,0,0,0,0,0,0,0,0,1,1,0,2,238,0,241
Mauritius,1,1,2,0,0,2,73,19,11,103,0,1,165,1,272
Mayotte,0,0,0,0,0,0,0,6,4,10,0,2,108,1,121
Mozambique,0,0,0,1,0,1,22,101,137,260,0,42,1,341,53,1,696
Namibia,0,0,0,1,0,1,3,4,24,31,0,12,716,11,770
Niger,0,0,0,0,0,0,0,1,3,4,0,2,390,3,399
Nigeria,0,0,0,1,0,1,18,57,152,227,2,39,1,382,13,1,663
Réunion,0,0,0,0,0,0,10,8,4,22,0,1,111,2,136
Rwanda,0,1,1,3,0,4,4,53,56,113,1,17,681,7,820
Saint Helena, Ascension and Tristan da Cunha,8,2,10,0,0,10,27,7,11,45,0,1,26,5,87
Sao Tome and Principe,2,0,2,0,0,2,1,21,33,55,0,13,169,0,239
Senegal,2,0,2,0,0,2,1,9,12,22,0,11,745,7,787
Seychelles,2,0,2,0,0,2,17,13,31,61,0,8,132,0,203
Sierra Leone,1,0,1,1,0,2,8,39,75,122,1,33,832,10,999
Somalia,0,0,0,0,0,0,3,23,30,56,0,43,442,13,554
South Africa,2,3,5,7,3,15,64,116,136,316,2,122,1,400,38,1,883
South Sudan,0,0,0,0,0,0,0,5,13,18,1,8,631,3,661
Sudan,0,0,0,0,0,0,1,3,14,18,1,5,674,4,702
Tanzania, United Republic of,0,0,0,41,1,42,110,407,360,877,2,102,1,840,64,2,885
Togo,0,0,0,0,0,0,0,3,10,13,0,9,736,1,759
Uganda,0,0,0,3,0,3,8,35,65,108,1,30,1,172,13,1,324
Zambia,0,0,0,0,0,0,3,20,25,48,0,21,1,178,35,1,282
Zimbabwe,0,0,0,0,2,2,2,21,52,75,0,23,1,164,19,1,281
Afghanistan,0,0,0,0,0,0,1,5,3,9,0,6,342,16,373
Armenia,0,0,0,0,0,0,18,43,15,76,0,13,249,42,380
Azerbaijan,0,0,0,0,0,0,7,18,21,46,0,19,265,30,360
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
Cyprus,0,0,0,0,0,0,7,5,11,23,0,10,230,11,274
Georgia,0,0,0,0,0,0,9,17,41,67,0,13,322,29,431
Iran, Islamic Republic of,0,0,0,0,0,0,3,8,4,15,0,12,429,37,493
Iraq,0,0,0,0,0,0,0,3,1,4,0,6,252,16,278
Israel,0,0,0,0,0,0,3,23,13,39,0,10,283,12,344
Jordan,0,0,0,0,0,0,0,5,3,8,0,5,193,10,216
Kazakhstan,0,0,0,0,0,0,5,5,3,13,0,2,311,29,355
Kuwait,0,0,0,0,0,0,0,0,0,0,0,1,29,0,30
Kyrgyzstan,0,0,0,0,0,0,6,5,2,13,0,2,192,23,230
Lebanon,0,0,0,5,0,5,17,61,22,100,0,12,315,19,446
Oman,0,0,0,0,0,0,0,2,5,7,0,5,159,3,174
Pakistan,0,0,0,0,0,0,4,7,8,19,0,7,508,29,563
Palestine, State of,0,0,0,0,0,0,1,6,4,11,0,7,224,6,248
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Saudi Arabia,0,0,0,0,0,0,0,3,1,4,0,0,269,2,275
Syrian Arab Republic,0,0,0,0,0,0,5,25,14,44,0,15,307,28,394
Tajikistan,0,0,0,0,0,0,6,3,2,11,0,2,198,22,233
Turkey,0,0,0,0,0,0,67,44,24,135,0,31,651,71,888
Turkmenistan,0,0,0,0,0,0,0,2,2,4,0,3,184,17,208
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55
Uzbekistan,0,0,0,0,0,0,4,8,3,15,0,1,205,21,242
Yemen,3,0,3,0,0,3,6,29,129,164,0,22,435,38,662